Emoji	Name	Group	Subgroup	Code Point	Code	Status
😀	Grinning face	Smileys & Emotion	Face Smiling	1F600	E1.0	Fully Qualified
😃	Grinning face with big eyes	Smileys & Emotion	Face Smiling	1F603	E0.6	Fully Qualified
😄	Grinning face with smiling eyes	Smileys & Emotion	Face Smiling	1F604	E0.6	Fully Qualified
😁	Beaming face with smiling eyes	Smileys & Emotion	Face Smiling	1F601	E0.6	Fully Qualified
😆	Grinning squinting face	Smileys & Emotion	Face Smiling	1F606	E0.6	Fully Qualified
😅	Grinning face with sweat	Smileys & Emotion	Face Smiling	1F605	E0.6	Fully Qualified
🤣	Rolling on the floor laughing	Smileys & Emotion	Face Smiling	1F923	E3.0	Fully Qualified
😂	Face with tears of joy	Smileys & Emotion	Face Smiling	1F602	E0.6	Fully Qualified
🙂	Slightly smiling face	Smileys & Emotion	Face Smiling	1F642	E1.0	Fully Qualified
🙃	Upside-down face	Smileys & Emotion	Face Smiling	1F643	E1.0	Fully Qualified
🫠	Melting face	Smileys & Emotion	Face Smiling	1FAE0	E14.0	Fully Qualified
😉	Winking face	Smileys & Emotion	Face Smiling	1F609	E0.6	Fully Qualified
😊	Smiling face with smiling eyes	Smileys & Emotion	Face Smiling	1F60A	E0.6	Fully Qualified
😇	Smiling face with halo	Smileys & Emotion	Face Smiling	1F607	E1.0	Fully Qualified
🥰	Smiling face with hearts	Smileys & Emotion	Face Affection	1F970	E11.0	Fully Qualified
😍	Smiling face with heart-eyes	Smileys & Emotion	Face Affection	1F60D	E0.6	Fully Qualified
🤩	Star-struck	Smileys & Emotion	Face Affection	1F929	E5.0	Fully Qualified
😘	Face blowing a kiss	Smileys & Emotion	Face Affection	1F618	E0.6	Fully Qualified
😗	Kissing face	Smileys & Emotion	Face Affection	1F617	E1.0	Fully Qualified
☺️	Smiling face	Smileys & Emotion	Face Affection	263A FE0F	E0.6	Fully Qualified
☺	Smiling face	Smileys & Emotion	Face Affection	263A	E0.6	Unqualified
😚	Kissing face with closed eyes	Smileys & Emotion	Face Affection	1F61A	E0.6	Fully Qualified
😙	Kissing face with smiling eyes	Smileys & Emotion	Face Affection	1F619	E1.0	Fully Qualified
🥲	Smiling face with tear	Smileys & Emotion	Face Affection	1F972	E13.0	Fully Qualified
😋	Face savoring food	Smileys & Emotion	Face Tongue	1F60B	E0.6	Fully Qualified
😛	Face with tongue	Smileys & Emotion	Face Tongue	1F61B	E1.0	Fully Qualified
😜	Winking face with tongue	Smileys & Emotion	Face Tongue	1F61C	E0.6	Fully Qualified
🤪	Zany face	Smileys & Emotion	Face Tongue	1F92A	E5.0	Fully Qualified
😝	Squinting face with tongue	Smileys & Emotion	Face Tongue	1F61D	E0.6	Fully Qualified
🤑	Money-mouth face	Smileys & Emotion	Face Tongue	1F911	E1.0	Fully Qualified
🤗	Smiling face with open hands	Smileys & Emotion	Face Hand	1F917	E1.0	Fully Qualified
🤭	Face with hand over mouth	Smileys & Emotion	Face Hand	1F92D	E5.0	Fully Qualified
🫢	Face with open eyes and hand over mouth	Smileys & Emotion	Face Hand	1FAE2	E14.0	Fully Qualified
🫣	Face with peeking eye	Smileys & Emotion	Face Hand	1FAE3	E14.0	Fully Qualified
🤫	Shushing face	Smileys & Emotion	Face Hand	1F92B	E5.0	Fully Qualified
