Emoji	Name	Group	Subgroup	Code Point	Code	Status
🙂‍↔️	Head shaking horizontally	Smileys & Emotion	Face Neutral Skeptical	1F642 200D 2194 FE0F	E15.1	Fully Qualified
🙂‍↔	Head shaking horizontally	Smileys & Emotion	Face Neutral Skeptical	1F642 200D 2194	E15.1	Minimally Qualified
🙂‍↕️	Head shaking vertically	Smileys & Emotion	Face Neutral Skeptical	1F642 200D 2195 FE0F	E15.1	Fully Qualified
🙂‍↕	Head shaking vertically	Smileys & Emotion	Face Neutral Skeptical	1F642 200D 2195	E15.1	Minimally Qualified
🚶‍➡️	Person walking facing right	People & Body	Person Activity	1F6B6 200D 27A1 FE0F	E15.1	Fully Qualified
🚶‍➡	Person walking facing right	People & Body	Person Activity	1F6B6 200D 27A1	E15.1	Minimally Qualified
🚶🏻‍➡️	Person walking facing right: Light skin tone	People & Body	Person Activity	1F6B6 1F3FB 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏻‍➡	Person walking facing right: Light skin tone	People & Body	Person Activity	1F6B6 1F3FB 200D 27A1	E15.1	Minimally Qualified
🚶🏼‍➡️	Person walking facing right: Medium-light skin tone	People & Body	Person Activity	1F6B6 1F3FC 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏼‍➡	Person walking facing right: Medium-light skin tone	People & Body	Person Activity	1F6B6 1F3FC 200D 27A1	E15.1	Minimally Qualified
🚶🏽‍➡️	Person walking facing right: Medium skin tone	People & Body	Person Activity	1F6B6 1F3FD 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏽‍➡	Person walking facing right: Medium skin tone	People & Body	Person Activity	1F6B6 1F3FD 200D 27A1	E15.1	Minimally Qualified
🚶🏾‍➡️	Person walking facing right: Medium-dark skin tone	People & Body	Person Activity	1F6B6 1F3FE 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏾‍➡	Person walking facing right: Medium-dark skin tone	People & Body	Person Activity	1F6B6 1F3FE 200D 27A1	E15.1	Minimally Qualified
🚶🏿‍➡️	Person walking facing right: Dark skin tone	People & Body	Person Activity	1F6B6 1F3FF 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏿‍➡	Person walking facing right: Dark skin tone	People & Body	Person Activity	1F6B6 1F3FF 200D 27A1	E15.1	Minimally Qualified
🚶‍♀️‍➡️	Woman walking facing right	People & Body	Person Activity	1F6B6 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🚶‍♀‍➡️	Woman walking facing right	People & Body	Person Activity	1F6B6 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🚶‍♀️‍➡	Woman walking facing right	People & Body	Person Activity	1F6B6 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🚶‍♀‍➡	Woman walking facing right	People & Body	Person Activity	1F6B6 200D 2640 200D 27A1	E15.1	Minimally Qualified
🚶🏻‍♀️‍➡️	Woman walking facing right: Light skin tone	People & Body	Person Activity	1F6B6 1F3FB 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏻‍♀‍➡️	Woman walking facing right: Light skin tone	People & Body	Person Activity	1F6B6 1F3FB 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🚶🏻‍♀️‍➡	Woman walking facing right: Light skin tone	People & Body	Person Activity	1F6B6 1F3FB 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🚶🏻‍♀‍➡	Woman walking facing right: Light skin tone	People & Body	Person Activity	1F6B6 1F3FB 200D 2640 200D 27A1	E15.1	Minimally Qualified
🚶🏼‍♀️‍➡️	Woman walking facing right: Medium-light skin tone	People & Body	Person Activity	1F6B6 1F3FC 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏼‍♀‍➡️	Woman walking facing right: Medium-light skin tone	People & Body	Person Activity	1F6B6 1F3FC 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🚶🏼‍♀️‍➡	Woman walking facing right: Medium-light skin tone	People & Body	Person Activity	1F6B6 1F3FC 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🚶🏼‍♀‍➡	Woman walking facing right: Medium-light skin tone	People & Body	Person Activity	1F6B6 1F3FC 200D 2640 200D 27A1	E15.1	Minimally Qualified
🚶🏽‍♀️‍➡️	Woman walking facing right: Medium skin tone	People & Body	Person Activity	1F6B6 1F3FD 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏽‍♀‍➡️	Woman walking facing right: Medium skin tone	People & Body	Person Activity	1F6B6 1F3FD 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🚶🏽‍♀️‍➡	Woman walking facing right: Medium skin tone	People & Body	Person Activity	1F6B6 1F3FD 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🚶🏽‍♀‍➡	Woman walking facing right: Medium skin tone	People & Body	Person Activity	1F6B6 1F3FD 200D 2640 200D 27A1	E15.1	Minimally Qualified
🚶🏾‍♀️‍➡️	Woman walking facing right: Medium-dark skin tone	People & Body	Person Activity	1F6B6 1F3FE 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🚶🏾‍♀‍➡️	Woman walking facing right: Medium-dark skin tone	People & Body	Person Activity	1F6B6 1F3FE 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🚶🏾‍♀️‍➡	Woman walking facing right: Medium-dark skin tone	People & Body	Person Activity	1F6B6 1F3FE 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🚶🏾‍♀‍➡	Woman walking facing right: Medium-dark skin tone	People & Body	Person Activity	1F6B6 1F3FE 200D 2640 200D 27A1	E15.1	Minimally Qualified
