Emoji	Name	Group	Subgroup	Code Point	Code	Status
😶‍🌫	Face in clouds	Smileys & Emotion	Face Neutral Skeptical	1F636 200D 1F32B	E13.1	Minimally Qualified
👁️‍🗨	Eye in speech bubble	Smileys & Emotion	Emotion	1F441 FE0F 200D 1F5E8	E2.0	Minimally Qualified
🧔‍♂	Man: Beard	People & Body	Person	1F9D4 200D 2642	E13.1	Minimally Qualified
🧔‍♀	Woman: Beard	People & Body	Person	1F9D4 200D 2640	E13.1	Minimally Qualified
👱‍♀	Woman: Blond hair	People & Body	Person	1F471 200D 2640	E4.0	Minimally Qualified
👱‍♂	Man: Blond hair	People & Body	Person	1F471 200D 2642	E4.0	Minimally Qualified
🙍‍♂	Man frowning	People & Body	Person Gesture	1F64D 200D 2642	E4.0	Minimally Qualified
🙍‍♀	Woman frowning	People & Body	Person Gesture	1F64D 200D 2640	E4.0	Minimally Qualified
🙎‍♂	Man pouting	People & Body	Person Gesture	1F64E 200D 2642	E4.0	Minimally Qualified
🙎‍♀	Woman pouting	People & Body	Person Gesture	1F64E 200D 2640	E4.0	Minimally Qualified
🙅‍♂	Man gesturing NO	People & Body	Person Gesture	1F645 200D 2642	E4.0	Minimally Qualified
🙅‍♀	Woman gesturing NO	People & Body	Person Gesture	1F645 200D 2640	E4.0	Minimally Qualified
🙆‍♂	Man gesturing OK	People & Body	Person Gesture	1F646 200D 2642	E4.0	Minimally Qualified
🙆‍♀	Woman gesturing OK	People & Body	Person Gesture	1F646 200D 2640	E4.0	Minimally Qualified
💁‍♂	Man tipping hand	People & Body	Person Gesture	1F481 200D 2642	E4.0	Minimally Qualified
💁‍♀	Woman tipping hand	People & Body	Person Gesture	1F481 200D 2640	E4.0	Minimally Qualified
🙋‍♂	Man raising hand	People & Body	Person Gesture	1F64B 200D 2642	E4.0	Minimally Qualified
🙋‍♀	Woman raising hand	People & Body	Person Gesture	1F64B 200D 2640	E4.0	Minimally Qualified
🧏‍♂	Deaf man	People & Body	Person Gesture	1F9CF 200D 2642	E12.0	Minimally Qualified
🧏‍♀	Deaf woman	People & Body	Person Gesture	1F9CF 200D 2640	E12.0	Minimally Qualified
🙇‍♂	Man bowing	People & Body	Person Gesture	1F647 200D 2642	E4.0	Minimally Qualified
🙇‍♀	Woman bowing	People & Body	Person Gesture	1F647 200D 2640	E4.0	Minimally Qualified
🤦‍♂	Man facepalming	People & Body	Person Gesture	1F926 200D 2642	E4.0	Minimally Qualified
🤦‍♀	Woman facepalming	People & Body	Person Gesture	1F926 200D 2640	E4.0	Minimally Qualified
🤷‍♂	Man shrugging	People & Body	Person Gesture	1F937 200D 2642	E4.0	Minimally Qualified
🤷‍♀	Woman shrugging	People & Body	Person Gesture	1F937 200D 2640	E4.0	Minimally Qualified
🧑‍⚕	Health worker	People & Body	Person Role	1F9D1 200D 2695	E12.1	Minimally Qualified
👨‍⚕	Man health worker	People & Body	Person Role	1F468 200D 2695	E4.0	Minimally Qualified
👩‍⚕	Woman health worker	People & Body	Person Role	1F469 200D 2695	E4.0	Minimally Qualified
🧑‍⚖	Judge	People & Body	Person Role	1F9D1 200D 2696	E12.1	Minimally Qualified
👨‍⚖	Man judge	People & Body	Person Role	1F468 200D 2696	E4.0	Minimally Qualified
👩‍⚖	Woman judge	People & Body	Person Role	1F469 200D 2696	E4.0	Minimally Qualified
🧑‍✈	Pilot	People & Body	Person Role	1F9D1 200D 2708	E12.1	Minimally Qualified
👨‍✈	Man pilot	People & Body	Person Role	1F468 200D 2708	E4.0	Minimally Qualified
👩‍✈	Woman pilot	People & Body	Person Role	1F469 200D 2708	E4.0	Minimally Qualified
👮‍♂	Man police officer	People & Body	Person Role	1F46E 200D 2642	E4.0	Minimally Qualified
👮‍♀	Woman police officer	People & Body	Person Role	1F46E 200D 2640	E4.0	Minimally Qualified
🕵️‍♂	Man detective	People & Body	Person Role	1F575 FE0F 200D 2642	E4.0	Minimally Qualified
🕵️‍♀	Woman detective	People & Body	Person Role	1F575 FE0F 200D 2640	E4.0	Minimally Qualified
💂‍♂	Man guard	People & Body	Person Role	1F482 200D 2642	E4.0	Minimally Qualified
💂‍♀	Woman guard	People & Body	Person Role	1F482 200D 2640	E4.0	Minimally Qualified
👷‍♂	Man construction worker	People & Body	Person Role	1F477 200D 2642	E4.0	Minimally Qualified
👷‍♀	Woman construction worker	People & Body	Person Role	1F477 200D 2640	E4.0	Minimally Qualified
👳‍♂	Man wearing turban	People & Body	Person Role	1F473 200D 2642	E4.0	Minimally Qualified
👳‍♀	Woman wearing turban	People & Body	Person Role	1F473 200D 2640	E4.0	Minimally Qualified
🤵‍♂	Man in tuxedo	People & Body	Person Role	1F935 200D 2642	E13.0	Minimally Qualified
🤵‍♀	Woman in tuxedo	People & Body	Person Role	1F935 200D 2640	E13.0	Minimally Qualified
👰‍♂	Man with veil	People & Body	Person Role	1F470 200D 2642	E13.0	Minimally Qualified
👰‍♀	Woman with veil	People & Body	Person Role	1F470 200D 2640	E13.0	Minimally Qualified
🦸‍♂	Man superhero	People & Body	Person Fantasy	1F9B8 200D 2642	E11.0	Minimally Qualified
🦸‍♀	Woman superhero	People & Body	Person Fantasy	1F9B8 200D 2640	E11.0	Minimally Qualified
🦹‍♂	Man supervillain	People & Body	Person Fantasy	1F9B9 200D 2642	E11.0	Minimally Qualified
🦹‍♀	Woman supervillain	People & Body	Person Fantasy	1F9B9 200D 2640	E11.0	Minimally Qualified
🧙‍♂	Man mage	People & Body	Person Fantasy	1F9D9 200D 2642	E5.0	Minimally Qualified
🧙‍♀	Woman mage	People & Body	Person Fantasy	1F9D9 200D 2640	E5.0	Minimally Qualified
🧚‍♂	Man fairy	People & Body	Person Fantasy	1F9DA 200D 2642	E5.0	Minimally Qualified
🧚‍♀	Woman fairy	People & Body	Person Fantasy	1F9DA 200D 2640	E5.0	Minimally Qualified
🧛‍♂	Man vampire	People & Body	Person Fantasy	1F9DB 200D 2642	E5.0	Minimally Qualified
🧛‍♀	Woman vampire	People & Body	Person Fantasy	1F9DB 200D 2640	E5.0	Minimally Qualified
🧜‍♂	Merman	People & Body	Person Fantasy	1F9DC 200D 2642	E5.0	Minimally Qualified
🧜‍♀	Mermaid	People & Body	Person Fantasy	1F9DC 200D 2640	E5.0	Minimally Qualified
🧝‍♂	Man elf	People & Body	Person Fantasy	1F9DD 200D 2642	E5.0	Minimally Qualified
🧝‍♀	Woman elf	People & Body	Person Fantasy	1F9DD 200D 2640	E5.0	Minimally Qualified
🧞‍♂	Man genie	People & Body	Person Fantasy	1F9DE 200D 2642	E5.0	Minimally Qualified
🧞‍♀	Woman genie	People & Body	Person Fantasy	1F9DE 200D 2640	E5.0	Minimally Qualified
🧟‍♂	Man zombie	People & Body	Person Fantasy	1F9DF 200D 2642	E5.0	Minimally Qualified
🧟‍♀	Woman zombie	People & Body	Person Fantasy	1F9DF 200D 2640	E5.0	Minimally Qualified
💆‍♂	Man getting massage	People & Body	Person Activity	1F486 200D 2642	E4.0	Minimally Qualified
💆‍♀	Woman getting massage	People & Body	Person Activity	1F486 200D 2640	E4.0	Minimally Qualified
💇‍♂	Man getting haircut	People & Body	Person Activity	1F487 200D 2642	E4.0	Minimally Qualified
💇‍♀	Woman getting haircut	People & Body	Person Activity	1F487 200D 2640	E4.0	Minimally Qualified
🚶‍♂	Man walking	People & Body	Person Activity	1F6B6 200D 2642	E4.0	Minimally Qualified
🚶‍♀	Woman walking	People & Body	Person Activity	1F6B6 200D 2640	E4.0	Minimally Qualified
🧍‍♂	Man standing	People & Body	Person Activity	1F9CD 200D 2642	E12.0	Minimally Qualified
🧍‍♀	Woman standing	People & Body	Person Activity	1F9CD 200D 2640	E12.0	Minimally Qualified
🧎‍♂	Man kneeling	People & Body	Person Activity	1F9CE 200D 2642	E12.0	Minimally Qualified
🧎‍♀	Woman kneeling	People & Body	Person Activity	1F9CE 200D 2640	E12.0	Minimally Qualified
🏃‍♂	Man running	People & Body	Person Activity	1F3C3 200D 2642	E4.0	Minimally Qualified
🏃‍♀	Woman running	People & Body	Person Activity	1F3C3 200D 2640	E4.0	Minimally Qualified
👯‍♂	Men with bunny ears	People & Body	Person Activity	1F46F 200D 2642	E4.0	Minimally Qualified
👯‍♀	Women with bunny ears	People & Body	Person Activity	1F46F 200D 2640	E4.0	Minimally Qualified
🧖‍♂	Man in steamy room	People & Body	Person Activity	1F9D6 200D 2642	E5.0	Minimally Qualified
🧖‍♀	Woman in steamy room	People & Body	Person Activity	1F9D6 200D 2640	E5.0	Minimally Qualified
🧗‍♂	Man climbing	People & Body	Person Activity	1F9D7 200D 2642	E5.0	Minimally Qualified
🧗‍♀	Woman climbing	People & Body	Person Activity	1F9D7 200D 2640	E5.0	Minimally Qualified
🏌️‍♂	Man golfing	People & Body	Person Sport	1F3CC FE0F 200D 2642	E4.0	Minimally Qualified
🏌️‍♀	Woman golfing	People & Body	Person Sport	1F3CC FE0F 200D 2640	E4.0	Minimally Qualified
🏄‍♂	Man surfing	People & Body	Person Sport	1F3C4 200D 2642	E4.0	Minimally Qualified
