Emoji	Name	Group	Subgroup	Code Point	Code	Status
👋🏻	Waving hand: Light skin tone	People & Body	Hand Fingers Open	1F44B 1F3FB	E1.0	Fully Qualified
👋🏼	Waving hand: Medium-light skin tone	People & Body	Hand Fingers Open	1F44B 1F3FC	E1.0	Fully Qualified
👋🏽	Waving hand: Medium skin tone	People & Body	Hand Fingers Open	1F44B 1F3FD	E1.0	Fully Qualified
👋🏾	Waving hand: Medium-dark skin tone	People & Body	Hand Fingers Open	1F44B 1F3FE	E1.0	Fully Qualified
👋🏿	Waving hand: Dark skin tone	People & Body	Hand Fingers Open	1F44B 1F3FF	E1.0	Fully Qualified
🤚🏻	Raised back of hand: Light skin tone	People & Body	Hand Fingers Open	1F91A 1F3FB	E3.0	Fully Qualified
🤚🏼	Raised back of hand: Medium-light skin tone	People & Body	Hand Fingers Open	1F91A 1F3FC	E3.0	Fully Qualified
🤚🏽	Raised back of hand: Medium skin tone	People & Body	Hand Fingers Open	1F91A 1F3FD	E3.0	Fully Qualified
🤚🏾	Raised back of hand: Medium-dark skin tone	People & Body	Hand Fingers Open	1F91A 1F3FE	E3.0	Fully Qualified
🤚🏿	Raised back of hand: Dark skin tone	People & Body	Hand Fingers Open	1F91A 1F3FF	E3.0	Fully Qualified
🖐🏻	Hand with fingers splayed: Light skin tone	People & Body	Hand Fingers Open	1F590 1F3FB	E1.0	Fully Qualified
🖐🏼	Hand with fingers splayed: Medium-light skin tone	People & Body	Hand Fingers Open	1F590 1F3FC	E1.0	Fully Qualified
🖐🏽	Hand with fingers splayed: Medium skin tone	People & Body	Hand Fingers Open	1F590 1F3FD	E1.0	Fully Qualified
🖐🏾	Hand with fingers splayed: Medium-dark skin tone	People & Body	Hand Fingers Open	1F590 1F3FE	E1.0	Fully Qualified
🖐🏿	Hand with fingers splayed: Dark skin tone	People & Body	Hand Fingers Open	1F590 1F3FF	E1.0	Fully Qualified
✋🏻	Raised hand: Light skin tone	People & Body	Hand Fingers Open	270B 1F3FB	E1.0	Fully Qualified
✋🏼	Raised hand: Medium-light skin tone	People & Body	Hand Fingers Open	270B 1F3FC	E1.0	Fully Qualified
✋🏽	Raised hand: Medium skin tone	People & Body	Hand Fingers Open	270B 1F3FD	E1.0	Fully Qualified
✋🏾	Raised hand: Medium-dark skin tone	People & Body	Hand Fingers Open	270B 1F3FE	E1.0	Fully Qualified
✋🏿	Raised hand: Dark skin tone	People & Body	Hand Fingers Open	270B 1F3FF	E1.0	Fully Qualified
🖖🏻	Vulcan salute: Light skin tone	People & Body	Hand Fingers Open	1F596 1F3FB	E1.0	Fully Qualified
🖖🏼	Vulcan salute: Medium-light skin tone	People & Body	Hand Fingers Open	1F596 1F3FC	E1.0	Fully Qualified
🖖🏽	Vulcan salute: Medium skin tone	People & Body	Hand Fingers Open	1F596 1F3FD	E1.0	Fully Qualified
🖖🏾	Vulcan salute: Medium-dark skin tone	People & Body	Hand Fingers Open	1F596 1F3FE	E1.0	Fully Qualified
🖖🏿	Vulcan salute: Dark skin tone	People & Body	Hand Fingers Open	1F596 1F3FF	E1.0	Fully Qualified
🫱🏻	Rightwards hand: Light skin tone	People & Body	Hand Fingers Open	1FAF1 1F3FB	E14.0	Fully Qualified
🫱🏼	Rightwards hand: Medium-light skin tone	People & Body	Hand Fingers Open	1FAF1 1F3FC	E14.0	Fully Qualified
🫱🏽	Rightwards hand: Medium skin tone	People & Body	Hand Fingers Open	1FAF1 1F3FD	E14.0	Fully Qualified
🫱🏾	Rightwards hand: Medium-dark skin tone	People & Body	Hand Fingers Open	1FAF1 1F3FE	E14.0	Fully Qualified
🫱🏿	Rightwards hand: Dark skin tone	People & Body	Hand Fingers Open	1FAF1 1F3FF	E14.0	Fully Qualified
🫲🏻	Leftwards hand: Light skin tone	People & Body	Hand Fingers Open	1FAF2 1F3FB	E14.0	Fully Qualified
🫲🏼	Leftwards hand: Medium-light skin tone	People & Body	Hand Fingers Open	1FAF2 1F3FC	E14.0	Fully Qualified
🫲🏽	Leftwards hand: Medium skin tone	People & Body	Hand Fingers Open	1FAF2 1F3FD	E14.0	Fully Qualified
🫲🏾	Leftwards hand: Medium-dark skin tone	People & Body	Hand Fingers Open	1FAF2 1F3FE	E14.0	Fully Qualified
🫲🏿	Leftwards hand: Dark skin tone	People & Body	Hand Fingers Open	1FAF2 1F3FF	E14.0	Fully Qualified
🫳🏻	Palm down hand: Light skin tone	People & Body	Hand Fingers Open	1FAF3 1F3FB	E14.0	Fully Qualified
🫳🏼	Palm down hand: Medium-light skin tone	People & Body	Hand Fingers Open	1FAF3 1F3FC	E14.0	Fully Qualified
🫳🏽	Palm down hand: Medium skin tone	People & Body	Hand Fingers Open	1FAF3 1F3FD	E14.0	Fully Qualified
🫳🏾	Palm down hand: Medium-dark skin tone	People & Body	Hand Fingers Open	1FAF3 1F3FE	E14.0	Fully Qualified
🫳🏿	Palm down hand: Dark skin tone	People & Body	Hand Fingers Open	1FAF3 1F3FF	E14.0	Fully Qualified
🫴🏻	Palm up hand: Light skin tone	People & Body	Hand Fingers Open	1FAF4 1F3FB	E14.0	Fully Qualified
🫴🏼	Palm up hand: Medium-light skin tone	People & Body	Hand Fingers Open	1FAF4 1F3FC	E14.0	Fully Qualified
🫴🏽	Palm up hand: Medium skin tone	People & Body	Hand Fingers Open	1FAF4 1F3FD	E14.0	Fully Qualified
🫴🏾	Palm up hand: Medium-dark skin tone	People & Body	Hand Fingers Open	1FAF4 1F3FE	E14.0	Fully Qualified
🫴🏿	Palm up hand: Dark skin tone	People & Body	Hand Fingers Open	1FAF4 1F3FF	E14.0	Fully Qualified
🫷🏻	Leftwards pushing hand: Light skin tone	People & Body	Hand Fingers Open	1FAF7 1F3FB	E15.0	Fully Qualified
🫷🏼	Leftwards pushing hand: Medium-light skin tone	People & Body	Hand Fingers Open	1FAF7 1F3FC	E15.0	Fully Qualified
🫷🏽	Leftwards pushing hand: Medium skin tone	People & Body	Hand Fingers Open	1FAF7 1F3FD	E15.0	Fully Qualified
🫷🏾	Leftwards pushing hand: Medium-dark skin tone	People & Body	Hand Fingers Open	1FAF7 1F3FE	E15.0	Fully Qualified
🫷🏿	Leftwards pushing hand: Dark skin tone	People & Body	Hand Fingers Open	1FAF7 1F3FF	E15.0	Fully Qualified
🫸🏻	Rightwards pushing hand: Light skin tone	People & Body	Hand Fingers Open	1FAF8 1F3FB	E15.0	Fully Qualified
🫸🏼	Rightwards pushing hand: Medium-light skin tone	People & Body	Hand Fingers Open	1FAF8 1F3FC	E15.0	Fully Qualified
🫸🏽	Rightwards pushing hand: Medium skin tone	People & Body	Hand Fingers Open	1FAF8 1F3FD	E15.0	Fully Qualified
🫸🏾	Rightwards pushing hand: Medium-dark skin tone	People & Body	Hand Fingers Open	1FAF8 1F3FE	E15.0	Fully Qualified
🫸🏿	Rightwards pushing hand: Dark skin tone	People & Body	Hand Fingers Open	1FAF8 1F3FF	E15.0	Fully Qualified
👌🏻	OK hand: Light skin tone	People & Body	Hand Fingers Partial	1F44C 1F3FB	E1.0	Fully Qualified
👌🏼	OK hand: Medium-light skin tone	People & Body	Hand Fingers Partial	1F44C 1F3FC	E1.0	Fully Qualified
👌🏽	OK hand: Medium skin tone	People & Body	Hand Fingers Partial	1F44C 1F3FD	E1.0	Fully Qualified
👌🏾	OK hand: Medium-dark skin tone	People & Body	Hand Fingers Partial	1F44C 1F3FE	E1.0	Fully Qualified
👌🏿	OK hand: Dark skin tone	People & Body	Hand Fingers Partial	1F44C 1F3FF	E1.0	Fully Qualified
🤌🏻	Pinched fingers: Light skin tone	People & Body	Hand Fingers Partial	1F90C 1F3FB	E13.0	Fully Qualified
🤌🏼	Pinched fingers: Medium-light skin tone	People & Body	Hand Fingers Partial	1F90C 1F3FC	E13.0	Fully Qualified
🤌🏽	Pinched fingers: Medium skin tone	People & Body	Hand Fingers Partial	1F90C 1F3FD	E13.0	Fully Qualified
🤌🏾	Pinched fingers: Medium-dark skin tone	People & Body	Hand Fingers Partial	1F90C 1F3FE	E13.0	Fully Qualified
🤌🏿	Pinched fingers: Dark skin tone	People & Body	Hand Fingers Partial	1F90C 1F3FF	E13.0	Fully Qualified
🤏🏻	Pinching hand: Light skin tone	People & Body	Hand Fingers Partial	1F90F 1F3FB	E12.0	Fully Qualified
🤏🏼	Pinching hand: Medium-light skin tone	People & Body	Hand Fingers Partial	1F90F 1F3FC	E12.0	Fully Qualified
🤏🏽	Pinching hand: Medium skin tone	People & Body	Hand Fingers Partial	1F90F 1F3FD	E12.0	Fully Qualified
🤏🏾	Pinching hand: Medium-dark skin tone	People & Body	Hand Fingers Partial	1F90F 1F3FE	E12.0	Fully Qualified
🤏🏿	Pinching hand: Dark skin tone	People & Body	Hand Fingers Partial	1F90F 1F3FF	E12.0	Fully Qualified
✌🏻	Victory hand: Light skin tone	People & Body	Hand Fingers Partial	270C 1F3FB	E1.0	Fully Qualified
✌🏼	Victory hand: Medium-light skin tone	People & Body	Hand Fingers Partial	270C 1F3FC	E1.0	Fully Qualified
✌🏽	Victory hand: Medium skin tone	People & Body	Hand Fingers Partial	270C 1F3FD	E1.0	Fully Qualified
✌🏾	Victory hand: Medium-dark skin tone	People & Body	Hand Fingers Partial	270C 1F3FE	E1.0	Fully Qualified
✌🏿	Victory hand: Dark skin tone	People & Body	Hand Fingers Partial	270C 1F3FF	E1.0	Fully Qualified
🤞🏻	Crossed fingers: Light skin tone	People & Body	Hand Fingers Partial	1F91E 1F3FB	E3.0	Fully Qualified
🤞🏼	Crossed fingers: Medium-light skin tone	People & Body	Hand Fingers Partial	1F91E 1F3FC	E3.0	Fully Qualified
🤞🏽	Crossed fingers: Medium skin tone	People & Body	Hand Fingers Partial	1F91E 1F3FD	E3.0	Fully Qualified
🤞🏾	Crossed fingers: Medium-dark skin tone	People & Body	Hand Fingers Partial	1F91E 1F3FE	E3.0	Fully Qualified
🤞🏿	Crossed fingers: Dark skin tone	People & Body	Hand Fingers Partial	1F91E 1F3FF	E3.0	Fully Qualified
🫰🏻	Hand with index finger and thumb crossed: Light skin tone	hand-fingers-partial	People & Body	1FAF0 1F3FB	E14.0	Fully Qualified
🫰🏼	Hand with index finger and thumb crossed: Medium-light skin tone	hand-fingers-partial	People & Body	1FAF0 1F3FC	E14.0	Fully Qualified
🫰🏽	Hand with index finger and thumb crossed: Medium skin tone	hand-fingers-partial	People & Body	1FAF0 1F3FD	E14.0	Fully Qualified
🫰🏾	Hand with index finger and thumb crossed: Medium-dark skin tone	hand-fingers-partial	People & Body	1FAF0 1F3FE	E14.0	Fully Qualified
🫰🏿	Hand with index finger and thumb crossed: Dark skin tone	hand-fingers-partial	People & Body	1FAF0 1F3FF	E14.0	Fully Qualified
