Emoji	Name	Group	Subgroup	Code Point	Code	Status
☺	Smiling face	Smileys & Emotion	Face Affection	263A	E0.6	Unqualified
☹	Frowning face	Smileys & Emotion	Face Concerned	2639	E0.7	Unqualified
☠	Skull and crossbones	Smileys & Emotion	Face Negative	2620	E1.0	Unqualified
❣	Heart exclamation	Smileys & Emotion	Heart	2763	E1.0	Unqualified
❤‍🔥	Heart on fire	Smileys & Emotion	Heart	2764 200D 1F525	E13.1	Unqualified
❤‍🩹	Mending heart	Smileys & Emotion	Heart	2764 200D 1FA79	E13.1	Unqualified
❤	Red heart	Smileys & Emotion	Heart	2764	E0.6	Unqualified
🕳	Hole	Smileys & Emotion	Emotion	1F573	E0.7	Unqualified
👁‍🗨️	Eye in speech bubble	Smileys & Emotion	Emotion	1F441 200D 1F5E8 FE0F	E2.0	Unqualified
👁‍🗨	Eye in speech bubble	Smileys & Emotion	Emotion	1F441 200D 1F5E8	E2.0	Unqualified
🗨	Left speech bubble	Smileys & Emotion	Emotion	1F5E8	E2.0	Unqualified
🗯	Right anger bubble	Smileys & Emotion	Emotion	1F5EF	E0.7	Unqualified
🖐	Hand with fingers splayed	People & Body	Hand Fingers Open	1F590	E0.7	Unqualified
✌	Victory hand	People & Body	Hand Fingers Partial	270C	E0.6	Unqualified
☝	Index pointing up	People & Body	Hand Single Finger	261D	E0.6	Unqualified
✍	Writing hand	People & Body	Hand Prop	270D	E0.7	Unqualified
👁	Eye	People & Body	Body Parts	1F441	E0.7	Unqualified
🕵	Detective	People & Body	Person Role	1F575	E0.7	Unqualified
🕵‍♂️	Man detective	People & Body	Person Role	1F575 200D 2642 FE0F	E4.0	Unqualified
🕵‍♂	Man detective	People & Body	Person Role	1F575 200D 2642	E4.0	Unqualified
🕵‍♀️	Woman detective	People & Body	Person Role	1F575 200D 2640 FE0F	E4.0	Unqualified
🕵‍♀	Woman detective	People & Body	Person Role	1F575 200D 2640	E4.0	Unqualified
🕴	Person in suit levitating	People & Body	Person Activity	1F574	E0.7	Unqualified
⛷	Skier	People & Body	Person Sport	26F7	E0.7	Unqualified
🏌	Person golfing	People & Body	Person Sport	1F3CC	E0.7	Unqualified
🏌‍♂️	Man golfing	People & Body	Person Sport	1F3CC 200D 2642 FE0F	E4.0	Unqualified
🏌‍♂	Man golfing	People & Body	Person Sport	1F3CC 200D 2642	E4.0	Unqualified
🏌‍♀️	Woman golfing	People & Body	Person Sport	1F3CC 200D 2640 FE0F	E4.0	Unqualified
🏌‍♀	Woman golfing	People & Body	Person Sport	1F3CC 200D 2640	E4.0	Unqualified
⛹	Person bouncing ball	People & Body	Person Sport	26F9	E0.7	Unqualified
⛹‍♂️	Man bouncing ball	People & Body	Person Sport	26F9 200D 2642 FE0F	E4.0	Unqualified
