Source: https://www.webnots.com/option-or-alt-key-shortcuts-to-insert-symbols-in-mac-os-x/
Symbol	Description	Category
´	Acute Accent (dead key)	Accent
˜	Lowercase Tilde	Accent
¯	Macron	Accent
˘	Breve	Accent
˙	Superscript Dot or Dot Above	Accent
¨	Diaeresis	Accent
˚	Ring Above	Accent
˝	Double Acute Accent	Accent
¸	Cedilla	Accent
˛	Ogonek	Accent
ˆ	Circumflex	Accent
ˇ	Caron or háček or Inverted Circumflex	Accent
á	Latin Acute a Lowercase	Accent
Á	Latin Acute A Uppercase	Accent
à	Latin Grave a Lowercase	Accent
À	Latin Grave A Uppercase	Accent
â	Latin Circumflex a Lowercase	Accent
Â	Latin Circumflex A Uppercase	Accent
å	Latin Lowercase A with Ring Above	Accent
Å	Latin Uppercase A with Ring Above	Accent
ä	Latin Umlaut a Lowercase	Accent
Ä	Latin Umlaut A Uppercase	Accent
ã	Latin Tilde a Lowercase	Accent
Ã	Latin Tilde A Uppercase	Accent
ç	Latin Lowercase C Cedilla	Accent
Ç	Latin Uppercase C Cedilla	Accent
é	Latin Acute e Lowercase	Accent
É	Latin Acute E Uppercase	Accent
è	Latin Grave e Lowercase	Accent
È	Latin Grave E Uppercase	Accent
ê	Latin Circumflex e Lowercase	Accent
Ê	Latin Circumflex E Uppercase	Accent
ë	Latin Umlaut e Lowercase	Accent
Ë	Latin Umlaut E Uppercase	Accent
í	Latin Acute i Lowercase	Accent
Í	Latin Acute I Uppercase	Accent
ì	Latin Grave i Lowercase	Accent
Ì	Latin Grave I Uppercase	Accent
î	Latin Circumflex i Lowercase	Accent
Î	Latin Circumflex I Uppercase	Accent
ï	Latin Umlaut i Lowercase	Accent
Ï	Latin Umlaut I Uppercase	Accent
ñ	Latin Tilde i Lowercase	Accent
Ñ	Latin Tilde I Uppercase	Accent
ó	Latin Acute o Lowercase	Accent
Ó	Latin Acute O Uppercase	Accent
ò	Latin Grave o Lowercase	Accent
Ò	Latin Grave O Uppercase	Accent
ô	Latin Circumflex o Lowercase	Accent
Ô	Latin Circumflex O Uppercase	Accent
ö	Latin  Umlaut o Lowercase	Accent
Ö	Latin Umlaut O Uppercase	Accent
õ	Latin Tilde o Lowercase	Accent
Õ	Latin Tilde O Uppercase	Accent
š	Lowercase s with Caron	Accent
Š	Uppercase S with Caron	Accent
ú	Latin Acute u Lowercase	Accent
Ú	Latin Uppercase U with Acute	Accent
ù	Latin  Grave u Lowercase	Accent
Ù	Latin Acute U Uppercase	Accent
û	Latin Circumflex u Lowercase	Accent
Û	Latin Circumflex U Uppercase	Accent
ü	Latin Umlaut u Lowercase	Accent
Ü	Latin Umlaut U Uppercase	Accent
ý	Latin Acute y Lowercase	Accent
Ý	Latin Acute Y Uppercase	Accent
ÿ	Latin Umlaut y Lowercase	Accent
Ÿ	Umlaut Y Uppercase	Accent
ž	Lowercase z with Caron	Accent
Ž	Uppercase Z with Caron	Accent
➘	Bold South East Arrow	Arrows
➙	Bold Right Arrow	Arrows
➚	Bold North East Arrow	Arrows
➛	Drafting Point Right Arrow	Arrows
➜	Bold Round Tipped Right Arrow	Arrows
➝	Triangle Head Right Arrow	Arrows
➞	Bold Triangle Head Right Arrow	Arrows
➟	Dashed Triangle Head Right Arrow	Arrows
➠	Bold Dashed Triangle Head Right Arrow	Arrows
➡	Black Right Arrow	Arrows
➢	3D Top Lighted Right Arrow	Arrows
➣	3D Bottom Lighted Right Arrow	Arrows
➤	Black Right Arrow Head	Arrows
➥	Bold Down Curved Right Arrow	Arrows
➦	Bold Up Curved Right Arrow	Arrows
➧	Squat Right Arrow	Arrows
➨	Bold Concave Black Right Arrow	Arrows
➩	Right Shadowed White Right Arrow	Arrows
➪	Left Shadowed White Right Arrow	Arrows
➫	Back Tilted Shadowed White Right Arrow	Arrows
➬	Front Tilted Shadowed White Right Arrow	Arrows
➭	Bold Lower Shadowed White Right Arrow	Arrows
➮	Bold Upper Shadowed White Right Arrow	Arrows
➯	Notched Lower Shadowed White Right Arrow	Arrows
➱	Notched Upper Shadowed White Right Arrow	Arrows
➲	Circled Bold White Right Arrow	Arrows
➳	White Feathered Right Arrow	Arrows
➴	Black Feathered South East Arrow	Arrows
➵	Black Feathered Right Arrow	Arrows
➶	Black Feathered North East Arrow	Arrows
➷	Bold Black Feathered South East Arrow	Arrows
➸	Bold Black Feathered Right Arrow	Arrows
➹	Bold Black Feathered North East Arrow	Arrows
➺	Teardrop Barbed Right Arrow	Arrows
➻	Bold Teardrop Shanked Right Arrow	Arrows
➼	Wedge Tailed Right Arrow	Arrows
➽	Heavy Wedge Tailed Rightwards Arrow	Arrows
➾	Open Outlined Rightwards Arrow	Arrows
